NO,NAMA UNIVERSITAS/INSTITUT,JURUSAN,DAYA TAMPUNG,PASSING GRADE,UKT,,,,
,,,,,GEL I,GEL 2,GEL 3,GEL 4,GEL 5
1,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER HEWAN,81,30.30%,"Rp500,000","Rp1,000,000","Rp2,275,250","Rp3,500,000","Rp22,000,000"
2,UNIVERSITAS SYIAH KUALA,TEKNIK SIPIL,66,38.20%,"Rp500,000","Rp1,000,000","Rp2,025,250","Rp3,500,000","Rp10,000,000"
3,UNIVERSITAS SYIAH KUALA,TEKNIK MESIN,47,33.60%,"Rp500,000","Rp1,000,000","Rp2,025,250","Rp3,500,000","Rp12,000,000"
4,UNIVERSITAS SYIAH KUALA,TEKNIK KIMIA,43,33.60%,"Rp500,000","Rp1,000,000","Rp2,025,250","Rp3,500,000","Rp10,000,000"
5,UNIVERSITAS SYIAH KUALA,ARSITEKTUR,45,35.50%,"Rp500,000","Rp1,000,000","Rp2,025,250","Rp3,500,000","Rp9,000,000"
6,UNIVERSITAS SYIAH KUALA,TEKNIK ELEKTRO,41,35.60%,"Rp500,000","Rp1,000,000","Rp2,025,250","Rp3,500,000","Rp10,000,000"
7,UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI,46,29.80%,"Rp500,000","Rp1,000,000","Rp2,525,250","Rp3,500,000","Rp10,000,000"
8,UNIVERSITAS SYIAH KUALA,AGRIBISNIS,50,28.60%,"Rp500,000","Rp1,000,000","Rp2,525,250","Rp3,500,000","Rp9,000,000"
9,UNIVERSITAS SYIAH KUALA,PETERNAKAN,38,24.10%,"Rp500,000","Rp1,000,000","Rp2,525,250","Rp3,500,000","Rp9,000,000"
10,UNIVERSITAS SYIAH KUALA,TEKNOLOGI HASIL PERTANIAN,41,26.00%,"Rp500,000","Rp1,000,000","Rp2,525,250","Rp3,500,000","Rp9,000,000"
11,UNIVERSITAS SYIAH KUALA,TEKNIK PERTANIAN,35,25.60%,"Rp500,000","Rp1,000,000","Rp2,525,250","Rp3,500,000","Rp9,000,000"
